"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.656959583E-1,2.821168350E1,-4.305047607E-1,1.407103912E1,3.152901144E1
6.757429583E-1,4.190625549E1,1.273357040E1,1.660272446E1,4.683939073E1
6.857899583E-1,5.424599487E1,2.678380280E1,1.996533188E1,6.370725649E1
6.958359583E-1,6.216437851E1,3.881353683E1,2.363285522E1,7.700267816E1
7.058829583E-1,6.290204453E1,4.475019150E1,2.406994629E1,8.086166681E1
7.159299583E-1,5.834222672E1,4.565715546E1,2.136387360E1,7.710257037E1
7.259769583E-1,5.349066559E1,4.162334381E1,1.676169388E1,6.981911226E1
7.360239583E-1,4.772555420E1,3.565465576E1,1.207104813E1,6.078398806E1
7.460709583E-1,4.059543137E1,2.813908447E1,6.597829742E0,4.983300593E1
7.561179583E-1,3.298375992E1,1.954261093E1,2.158661041E0,3.839924319E1
7.661649583E-1,2.571337875E1,1.088461533E1,1.796264648E-3,2.792226174E1
7.762119583E-1,1.867456604E1,2.512974243E0,-4.349954224E-1,1.884790910E1
7.862589583E-1,1.237791000E1,-5.317542114E0,7.373666382E-1,1.349194648E1
7.963059583E-1,7.526648254E0,-1.185504730E1,2.849175110E0,1.432865588E1
8.063529583E-1,2.638563080E0,-1.810125824E1,2.642904053E0,1.848249190E1
8.163999583E-1,-6.553970947E0,-2.547297867E1,-2.058219910E-1,2.630341309E1
8.264469583E-1,-2.167028641E1,-3.272928909E1,-4.997357941E0,3.956995405E1
8.364939583E-1,-3.656221848E1,-3.818185043E1,-1.017658768E1,5.383504861E1
8.465399583E-1,-4.592899017E1,-4.051205475E1,-1.333831284E1,6.267861922E1
8.565869583E-1,-4.783093506E1,-4.148203766E1,-1.086395828E1,6.423848836E1
8.666339583E-1,-4.411326599E1,-4.225712585E1,-3.576961670E0,6.119182606E1
8.766809583E-1,-3.501413773E1,-4.092893784E1,3.035986633E0,5.394798428E1
8.867279583E-1,-2.074206665E1,-3.662044739E1,5.882617035E0,4.249583131E1
8.967749583E-1,-5.658982086E0,-3.007201492E1,5.350623322E0,3.106411643E1
9.068219583E-1,6.026916962E0,-2.314232529E1,4.485123138E0,2.433119967E1
9.168689583E-1,1.413944687E1,-1.629481476E1,5.085075531E0,2.216535447E1
9.269159583E-1,2.201247482E1,-7.319628754E0,5.292993164E0,2.379373425E1
9.369629583E-1,3.290023361E1,4.124373322E0,5.228627014E0,3.356745995E1
9.470099583E-1,4.482743088E1,1.842278961E1,6.888375549E0,4.895250202E1
9.570569583E-1,5.534920074E1,3.227438507E1,9.367370453E0,6.475274190E1
9.671039583E-1,6.057288803E1,4.240741333E1,1.301498520E1,7.507898048E1
9.771509583E-1,5.947237656E1,4.721077469E1,1.658057053E1,7.772217276E1
9.871969583E-1,5.518469284E1,4.687412476E1,1.857337646E1,7.474961009E1
9.972439583E-1,5.081602753E1,4.253494812E1,1.720686813E1,6.846580735E1
1.007290958E0,4.529880066E1,3.601899811E1,1.326122314E1,5.937347560E1
1.017337958E0,3.919673996E1,2.796349960E1,9.457333374E0,4.906916433E1
1.027384958E0,3.330873413E1,1.908291687E1,6.073470154E0,3.886536408E1
1.037431958E0,2.706925919E1,1.018317398E1,3.012934570E0,2.907781972E1
1.047478958E0,2.047008224E1,1.426084442E0,5.429209900E-1,2.052687865E1
