"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780118426865241E9,"2026-05-30 14:20:26.865 UTC+09:00"
"PAUSE",2.754223179165274E1,1.780118454407102E9,"2026-05-30 14:20:54.407 UTC+09:00"
